read,0,retval,fd,count,read_content,,,,,,,,,,,,,,
write,1,retval,fd,count,write_content,,,,,,,,,,,,,,
open,2,retval,flags,mode,filepath,,,,,,,,,,,,,,
close,3,retval,fd,,,,,,,,,,,,,,,,
stat,4,retval,filename,st_dev,st_ino,st_mode,st_nlink,st_uid,st_gid,st_rdevst_size,st_atime,st_mtime,st_ctime,,,,,,
fstat,5,retval,fd,st_dev,st_ino,st_mode,st_nlink,st_uid,st_gid,st_rdevst_size,st_atime,st_mtime,st_ctime,,,,,,
lstat,6,retval,filename,st_dev,st_ino,st_mode,st_nlink,st_uid,st_gid,st_rdevst_size,st_atime,st_mtime,st_ctime,,,,,,
poll,7,retval,fd,events,revents,nfds,timeout_msecs,,,,,,,,,,,,
lseek,8,retval,fd,offset,whence,,,,,,,,,,,,,,
mmap,9,retval,addr,len,prot,flags,fd,off,,,,,,,,,,,
mprotect,10,retval,start,len,prot,,,,,,,,,,,,,,
munmap,11,retval,addr,len,,,,,,,,,,,,,,,
brk,12,retval,brk,,,,,,,,,,,,,,,,
rt_sigaction,13,retval,sig,sigsetsize,new_sa_handler,new_sa_flags,new_sa_restorer,new_sa_mask,,,,,,,,,,,
rt_sigprocmask,14,retval,how,sigsetsize,nset,oset,,,,,,,,,,,,,
rt_sigreturn,15,retval,,,,,,,,,,,,,,,,,
ioctl,16,retval,fd,cmd,arg,,,,,,,,,,,,,,
pread64,17,retval,fd,count,pos,read_content,,,,,,,,,,,,,
pwrite64,18,retval,fd,count,pos,write_content,,,,,,,,,,,,,
readv,19,retval,fd,vlen,read_content,,,,,,,,,,,,,,
writev,20,retval,fd,vlen,read_content,,,,,,,,,,,,,,
access,21,retval,mode,filename,,,,,,,,,,,,,,,
pipe,22,retval,fildes,,,,,,,,,,,,,,,,
select,23,retval,n,in_fdset,out_fdset,exp_fdset,tv_sec,tv_usec,,,,,,,,,,,
sched_yield,24,retval,,,,,,,,,,,,,,,,,
mremap,25,retval,addr,old_len,new_len,flags,new_addr,,,,,,,,,,,,
msync,26,retval,start,len,flags,,,,,,,,,,,,,,
mincore,27,retval,start,len,vec,,,,,,,,,,,,,,
madvice,28,retval,start,len_in,behavior,,,,,,,,,,,,,,
shmget,29,retval,key,size,shmflg,,,,,,,,,,,,,,
shmat,30,retval,shmid,shmflg,shmaddr,,,,,,,,,,,,,,
shmctl,31,retval,shmid,cmd,shm_perm.key,shm_perm.uid,shm_perm.gid,shm_perm.cuid,shm_perm.cgid,shm_perm.mode,shm_perm.seq,shm_segsz,shm_atime,shm_dtime,shm_ctime,shm_cpid,shm_lpid,shm_nattch,shm_unused
dup,32,retval,fd,,,,,,,,,,,,,,,,
dup2,33,retval,old_fd,new_fd,,,,,,,,,,,,,,,
pause,34,retval,,,,,,,,,,,,,,,,,
nanosleep,35,retval,rqtp_tvsec,rqtp_tvnsec,rmtp_tvsec,rmtp_tvnsec,
getitimer,36,retval,which,it_interval.tv_sec,it_interval.tv_usec,it_value.tv_sec,it_value.tv_usec
openat,257,retval,dfd,flags,mode,filename,,,,,,,,,,,,,
dup3,292,retval,old_fd,new_fd,flags,,,,,,,,,,,,,,
